order_name,family_name,genus_name,species_name,median_lat,body_shape,longevity,max_length,min_depth,weight,salinity,age_at_maturity,streams,lakes,feeding_type,neritic,oceanic,mangroves,diet_troph,schooling,benthic,coral_reefs,estuaries,lat_range,temp_min,mouth_type,repro_mode,fertilization,rep_guild_1,rep_guild_2,parental_care
Albuliformes,Albulidae,Albula,Albula cf. vulpes,18.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albuliformes,Albulidae,Albula,Albula glossodonta,15.0645,fusiform / normal,NA,NA,NA,8610,NA,NA,0,0,NA,0,1,1,NA,0,0,1,1,64,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Albuliformes,Albulidae,Albula,Albula goreensis,18.347,fusiform / normal,NA,NA,NA,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albuliformes,Albulidae,Albula,Albula vulpes,18.277,fusiform / normal,NA,104,0,10000,NA,3.6,0,0,hunting macrofauna (predator),1,1,1,3.73,0,0,0,1,76,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Cypriniformes,Cyprinidae,Albulichthys,Albulichthys albuloides,13.225,elongated,NA,NA,NA,NA,NA,NA,1,1,variable,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides bipunctatus,49.277,fusiform / normal,NA,18.5,NA,30,NA,NA,1,0,NA,0,0,0,NA,0,0,0,0,27,10,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides eichwaldii,NA,fusiform / normal,NA,NA,NA,NA,freshwater,NA,1,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides fasciatus,NA,NA,NA,13.8,NA,32,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides gmelini,42.17,NA,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides kubanicus,NA,NA,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides ohridanus,41.252,fusiform / normal,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides sp.,38.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides strymonicus,41.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnoides,Alburnoides thessalicus,39.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnus,Alburnus baliki,37.0225,fusiform / normal,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnus,Alburnus demiri,37.298,fusiform / normal,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnus,Alburnus kotschyi,37.096,fusiform / normal,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnus,Alburnus orontis,36.097,fusiform / normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnus,Alburnus qalilus,35.656,fusiform / normal,NA,9.4,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnus,Alburnus scoranza,40.921,fusiform / normal,5,17.9,NA,47.4,freshwater,NA,0,1,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,nonguarders,open water/substratum egg scatterers,none
Cypriniformes,Cyprinidae,Alburnus,Alburnus sp.,36.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriniformes,Cyprinidae,Alburnus,Alburnus tarichi,NA,fusiform / normal,NA,NA,NA,NA,freshwater,NA,0,1,NA,0,0,0,NA,0,0,0,0,2,NA,NA,dioecism,external,nonguarders,NA,NA
Mugiliformes,Mugilidae,Aldrichetta,Aldrichetta forsteri,37.85,fusiform / normal,7,NA,0,950,NA,NA,1,0,grazing on aquatic plants,1,1,0,NA,0,0,0,1,22,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Notacanthiformes,Halosauridae,Aldrovandia,Aldrovandia affinis,27.3105,elongated,NA,55,730,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Notacanthiformes,Halosauridae,Aldrovandia,Aldrovandia oleosa,43,eel-like,NA,52,1200,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,NA,0,0,0,0,46,NA,NA,NA,NA,NA,NA,NA
Notacanthiformes,Halosauridae,Aldrovandia,Aldrovandia phalacra,42.402,eel-like,NA,50,500,NA,saltwater,NA,0,0,variable,0,1,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Carangiformes,Carangidae,Alectis,Alectis alexandrina,NA,short and / or deep,NA,100,NA,3170,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,NA,0,0,0,0,55,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Carangiformes,Carangidae,Alectis,Alectis ciliaris,5.086,short and / or deep,NA,150,60,22900,saltwater,NA,0,0,hunting macrofauna (predator),1,1,0,3.95,0,0,1,0,76,NA,terminal,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Carangiformes,Carangidae,Alectis,Alectis indica,6.901,short and / or deep,NA,165,20,25000,NA,NA,0,0,hunting macrofauna (predator),1,1,0,NA,0,0,1,1,89,NA,terminal,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Scorpaeniformes,Stichaeidae,Alectrias,Alectrias alectrolophus,60.98,NA,NA,NA,0,NA,saltwater,NA,0,0,NA,0,1,0,NA,0,0,0,0,NA,NA,NA,dioecism,external,guarders,NA,maternal
Carangiformes,Carangidae,Alepes,Alepes apercna,NA,fusiform / normal,NA,29.5,5,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Carangiformes,Carangidae,Alepes,Alepes djedaba,4.333,fusiform / normal,NA,40,NA,124,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,NA,0,0,1,0,83,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox,38.12815,elongated,NA,215,0,9000,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,4.03,0,0,0,0,124,NA,terminal,NA,external,nonguarders,NA,NA
Alepocephaliformes,Alepocephalidae,Alepocephalus,Alepocephalus agassizii,42.627,elongated,NA,NA,600,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,0,0,NA,0,0,0,0,55,NA,NA,dioecism,external,NA,NA,NA
Alepocephaliformes,Alepocephalidae,Alepocephalus,Alepocephalus bicolor,24.94,elongated,NA,NA,439,NA,saltwater,NA,0,0,NA,0,0,0,NA,0,1,0,0,NA,NA,NA,dioecism,external,NA,NA,NA
Alepocephaliformes,Alepocephalidae,Alepocephalus,Alepocephalus sp.,42.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepocephaliformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus,34.3841,elongated,NA,61,46,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,NA,0,0,0,0,NA,NA,NA,dioecism,external,nonguarders,NA,NA
Characiformes,Alestidae,Alestes,Alestes baremoze,6.337,fusiform / normal,6,40,NA,500,freshwater,2.5,1,1,hunting macrofauna (predator),0,0,0,NA,0,0,0,0,NA,15,terminal,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Characiformes,Alestidae,Alestes,Alestes dentex,6.337,fusiform / normal,7,55,NA,600,freshwater,2,1,1,variable,0,0,0,NA,0,0,0,0,NA,24,terminal,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Characiformes,Alestidae,Alestes,Alestes inferus,NA,fusiform / normal,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Characiformes,Alestidae,Alestes,Alestes macrophthalmus,NA,fusiform / normal,NA,NA,NA,NA,freshwater,NA,1,1,browsing on substrate,0,0,0,NA,0,0,0,0,NA,NA,terminal,NA,NA,NA,NA,NA
Characiformes,Alestidae,Alestopetersius,Alestopetersius bifasciatus,NA,NA,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Characiformes,Alestidae,Alestopetersius,Alestopetersius compressus,NA,NA,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Characiformes,Alestidae,Alestopetersius,Alestopetersius tumbensis,5.021,NA,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprinodontiformes,Poeciliidae,Alfaro,Alfaro huberi,NA,fusiform / normal,NA,5,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,dioecism,internal (oviduct),bearers,internal live bearers,NA
Cypriniformes,Cyprinidae,Algansea,Algansea tincella,19.842,NA,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blenniiformes,Blenniidae,Alloblennius,Alloblennius pictus,NA,elongated,NA,NA,NA,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dioecism,external,guarders,NA,NA
Blenniiformes,Labrisomidae,Alloclinus,Alloclinus holderi,32.85,elongated,NA,10,NA,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetraodontiformes,Diodontidae,Allomycterus,Allomycterus pilatus,31.9167,short and / or deep,NA,50,40,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dioecism,external,nonguarders,NA,none
Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus,48.85,elongated,NA,22.9,1,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Scombriformes,Scombridae,Allothunnus,Allothunnus fallai,25.426,fusiform / normal,NA,NA,0,13700,saltwater,NA,0,0,selective plankton feeding,0,1,0,3.7,0,0,0,0,40,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,44.88,fusiform / normal,9,NA,5,200,NA,2.5,1,1,hunting macrofauna (predator),1,1,0,3.39,0,0,0,1,21,NA,terminal,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,44.4885,fusiform / normal,13,76,0,5500,NA,4.45,1,1,hunting macrofauna (predator),1,1,0,3.48,0,0,0,1,39,NA,terminal,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Perciformes,Serranidae,Alphestes,Alphestes afer,13.8894,fusiform / normal,NA,33,2,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,3.58,0,0,0,0,59,NA,NA,protogyny,external,nonguarders,open water/substratum egg scatterers,none
Perciformes,Serranidae,Alphestes,Alphestes immaculatus,15.751,fusiform / normal,NA,30,1,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,NA,0,0,1,0,45,NA,NA,protogyny,external,nonguarders,open water/substratum egg scatterers,none
Blenniiformes,Blenniidae,Alticus,Alticus arnoldorum,13.42,elongated,NA,8,NA,NA,saltwater,NA,0,0,grazing on aquatic plants,0,1,0,NA,0,0,0,0,NA,NA,NA,dioecism,external,guarders,NA,NA
Blenniiformes,Blenniidae,Alticus,Alticus monochrus,NA,NA,NA,10,NA,NA,NA,NA,0,0,grazing on aquatic plants,0,0,0,NA,0,0,1,0,NA,NA,NA,dioecism,external,guarders,NA,NA
Blenniiformes,Blenniidae,Alticus,Alticus saliens,NA,elongated,NA,10,0,NA,saltwater,NA,0,0,grazing on aquatic plants,0,0,0,NA,0,0,1,0,59,NA,NA,dioecism,external,guarders,nesters,NA
Blenniiformes,Blenniidae,Alticus,Alticus simplicirrus,NA,elongated,NA,NA,NA,NA,saltwater,NA,0,0,grazing on aquatic plants,0,0,0,NA,0,0,0,0,NA,NA,NA,dioecism,external,guarders,NA,NA
Tetraodontiformes,Monacanthidae,Aluterus,Aluterus monoceros,19.6,short and / or deep,NA,76.2,1,2710,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,3.84,0,0,1,0,78,NA,NA,dioecism,external,NA,NA,NA
Tetraodontiformes,Monacanthidae,Aluterus,Aluterus schoepfii,21.536,short and / or deep,NA,61,3,NA,saltwater,NA,0,0,grazing on aquatic plants,0,1,0,2.02,0,0,0,0,73,NA,NA,dioecism,external,NA,NA,NA
Tetraodontiformes,Monacanthidae,Aluterus,Aluterus scriptus,16.7896,short and / or deep,NA,110,3,2500,saltwater,NA,0,0,variable,0,1,0,2.81,0,0,1,1,70,NA,NA,NA,NA,NA,NA,NA
