"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"29",28016,"al Sakaff, H. and M. Esseen",1999,"Occurrence and distribution of fish species off Yemen (Gulf of Aden and Arabian Sea).","Naga ICLARM Q. 22(1):43-47.",NA,NA,NA,NA,NA
"30",48637,"Kuiter, R.H. and T. Tonozuka",2001,"Pictorial guide to Indonesian reef fishes. Part 3. Jawfishes - Sunfishes, Opistognathidae - Molidae.","Zoonetics, Australia. p. 623-893.",NA,NA,NA,NA,NA
"31",58302,"Mundy, B.C.",2005,"Checklist of the fishes of the Hawaiian Archipelago.","Bishop Mus. Bull. Zool. (6):1-704.",NA,NA,NA,NA,NA
"32",9267,"Krupp, F.",1995,"Acanthuridae. Sangradores, cirujanos, navajones.","p. 839-844. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",NA,NA,NA,NA,NA
"33",36453,"Figueiredo, J.L. and N.A. Menezes",2000,"Manual de peixes marinhos do sudeste do Brasil. VI.Teleostei (5).","Museu de Zoologia, Universidade de S<e3>o Paulo. Brazil. 116 p.",NA,NA,NA,NA,NA
"34",26878,"Gomon, M.F.",1997,"Relationships of fishes of the labrid tribe Hypsigenyini.","Bull. Mar. Sci. 60(3):789-871.",NA,NA,NA,NA,NA
"35",50610,"Russian Academy of Sciences",2000,"Catalog of vertebrates of Kamchatka and adjacent waters.","Kamchatsky Pechatny Dvor, Petropavlovsk-Kamchatsky, Russia. 166 p.",NA,NA,NA,NA,NA
"36",3397,"Bauchot, M.-L.",1987,"Poissons osseux.","p. 891-1421. In W. Fischer, M.L. Bauchot and M. Schneider (eds.) Fiches FAO d'identification pour les besoins de la p<ea>che. (rev. 1). M<e9>diterran<e9>e et mer Noire. Zone de p<ea>che 37. Vol. II. Commission des Communaut<e9>s Europ<e9>ennes and FAO, Rome.",230,232,173,NA,NA
"37",4639,"Jones, P.W., F.D. Martin and J.D. Hardy Jr.",1978,"Development of fishes of the Mid-Atlantic Bight. An atlas of eggs, larval and juvenile stages. Vol. 1. Acipenseridae through Ictaluridae.","U.S. Fish Wildl. Ser. Biol. Serv. Program FWS/OBS-78/12. 336 p.",NA,NA,NA,NA,NA
"38",51346,"Rochard, E., M. Lepage and L. Meauz<e9>",1997,"Identification et caract<e9>risation de l'aire de r<e9>partition marine de l'esturgeon europ<e9>en <i>Acipenser sturio</i> <e0> partir de d<e9>clarations de captures.","Aquat. Living Resour. 10:101-109.",NA,NA,NA,NA,NA
"39",96184,"Okamoto, M.",2014,"<i>Acropoma profundum</i>, a new species of lanternbelly (Teleostei: Perciformes: Acropomatidae) from the Solomon Islands.","Species Diversity 19:9-14.",NA,NA,NA,NA,NA
"40",5213,"Fischer, W., I. Sousa, C. Silva, A. de Freitas, J.M. Poutiers, W. Schneider, T.C. Borges, J.P. Feral and A. Massinga",1990,"Fichas FAO de identifica<e7>ao de esp<e9>cies para actividades de pesca. Guia de campo das esp<e9>cies comerciais marinhas e de <e1>guas salobras de Mo<e7>ambique.","Publica<e7>ao preparada em collabora<e7>ao com o Instituto de Investiga<e7>ao Pesquiera de Mo<e7>ambique, com financiamento do Projecto PNUD/FAO MOZ/86/030 e de NORAD. Roma, FAO. 1990. 424 p.",NA,NA,NA,NA,NA
"41",6898,"Shao, K.-T. and P.L. Lim",1991,"Fishes of freshwater and estuary. Encyclopedia of field guide in Taiwan.","Recreation Press, Co., Ltd., Taipei. vol. 31. 240 p. (in Chinese).",NA,NA,NA,NA,NA
"42",68964,"Carpenter, K.E., F. Krupp, D.A. Jones and U. Zajonz",1997,"Living marine resources of Kuwait, eastern Saudi Arabia, Bahrain, Qatar, and the United Arab Emirates.","FAO species identification field guide for fishery purposes. 293p + 17 col. plates. Rome, FAO.",13710,NA,NA,NA,NA
"43",2850,"Eschmeyer, W.N., E.S. Herald and H. Hammann",1983,"A field guide to Pacific coast fishes of North America.","Boston (MA, USA): Houghton Mifflin Company. xii+336 p.",NA,NA,NA,NA,NA
"44",37039,"McEachran, J.D. and J.D. Fechhelm",1998,"Fishes of the Gulf of Mexico. Volume 1: Myxiniformes to Gasterosteiformes.","University of Texas Press, Austin. 1112p.",NA,NA,NA,NA,NA
"45",35509,"Anonymous",2000,"Fish collection database of the Intitut fur Seefischerei (ISH).","BIOLAB Forschungsinstitut, Hohenwestedt, Germany.",NA,NA,NA,NA,NA
"46",13608,"Uyeno, T., K. Matsuura and E. Fujii (eds.)",1983,"Fishes trawled off Suriname and French Guiana.","Japan Marine Fishery Resource Research Center, Tokyo, Japan. 519 p.",NA,NA,NA,NA,NA
"47",9003,"Paulin, C. and C. Roberts",1992,"The rockpool fishes of New Zealand (Te ika aaria o Aotearoa).","Museum of New Zealand (Te Papa Tongarewa). 177 p.",NA,NA,NA,NA,NA
"48",3974,"Sulak, K.J.",1986,"Halosauridae.","p. 196-197. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"49",4448,"Sulak, K.J.",1990,"Halosauridae.","p. 126-132. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"50",50550,"Fedorov, V.V., I.A. Chereshnev, M.V. Nazarkin, A.V. Shestakov and V.V. Volobuev",2003,"Catalog of marine and freswater fishes of the northern part of the Sea of Okhotsk.","Vladivostok: Dalnauka, 2003. 204 p.",NA,NA,NA,NA,NA
"51",4460,"Markle, D.F. and Y.I. Sazanov",1990,"Alepocephalidae.","p. 246-264. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"52",44023,"Sazonov, Y.I. and A.N. Ivanov",1979,"New species of the family Alepocephalidae, order Salmoniformes, from the underwater ridges of the tropical Indian ocean.","J. Ichthyol. 19(6):40-46.",NA,NA,NA,NA,NA
"53",4525,"Fitch, J.E. and R.J. Lavenberg",1968,"Deep-water teleostean fishes of California.","California Natural History Guides:25. University of California Press, Berkeley and Los Angeles, California. 115 p.",6885,NA,NA,NA,NA
