"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"782",27124,"Williams, A.",1990,"Deepwater fish guide: commercial trawl fish from the Western and North West Slope Deepwater Trawl Fisheries.","CSIRO Division of Fisheries. Hobart. 46 p.",6390,NA,NA,NA,NA
"783",4253,"Heemstra, P.C.",1986,"Zeidae.","p. 435-438. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"784",57828,"Parin, N.V., S.S. Grigoryev and E.S. Karmovskaya",2005,"<i>Zoarces andriashevi</i> (Zoarcidae), a new species of eelpout from southwestern Kamchatka.","J. Ichthyol. 45(1):413-416.",NA,NA,NA,NA,NA
"785",58268,"Greenfield, D.W., R.C. Langston and J.E. Randall",2005,"Two new cardinalfishes of the Indo-Pacific fish genus <i>Zoramia</i> (Apogonidae).","Proc. Calif. Acad. Sci. 56(33):625-637.",NA,NA,NA,NA,NA
"786",2058,"Berg, L.S.",1965,"Freshwater fishes of the U.S.S.R. and adjacent countries. volume 3, 4th edition.","Israel Program for Scientific Translations Ltd, Jerusalem. (Russian version published 1949).",NA,NA,NA,NA,NA
"787",796,"Beverton, R.J.H. and S.J. Holt",1959,"A review of the lifespans and mortality rates of fish in nature, and their relation to growth and other physiological characteristics.","p. 142-180. In G.E.W. Wolstenholme and M. O'Connor (eds.) CIBA Foundation colloquia on ageing: the lifespan of animals. volume 5. J & A Churchill Ltd, London.",839,NA,NA,NA,NA
"788",81825,"Li, Y. and B. Li",1989,"A study on biology of <i>Synechogobius hasta</i>.","Acta Scientarium Naturalium University Nan Kaiensis 6(2):65-72.",NA,NA,NA,NA,NA
"789",56606,"Druzhinin, A.D.",1976,"Sparid fishes of the world oceans.","Moscow, Pishchevaya Promyshlennost, 195 p.",NA,NA,NA,NA,NA
"790",3627,"Mathews, C.P. and M. Samuel",1991,"Growth, mortality and length-weight parameters for some Kuwaiti fish and shrimp.","Fishbyte 9(2):30-33.",NA,NA,NA,NA,NA
"791",3625,"Mathews, C.P. and M. Samuel",1990,"The relationships between maximum and asymptotic length in fishes.","Fishbyte 8(2):14-16.",NA,NA,NA,NA,NA
"792",36820,"Morrison, A.K., P.C. Coutin and S.G. Robertson",1998,"Age determination of black bream, <i>Acanthopagrus butcheri</i>, from the Gippsland Lakes of south-eastern Australia indicates slow growth and episodic recruitment.","Mar. Freshw. Res. 49(6):491-498.",NA,NA,NA,NA,NA
"793",52229,"Choat, J.H. and D.R. Robertson",2002,"Age-based studies on coral reef fishes.","p. 57-80. In P.F. Sale (ed.) Coral reef fishes: dynamics and diversity in a complex ecosystem. Academic Press.",94645,NA,NA,NA,NA
"794",27143,"Choat, J.H. and L.M. Axe",1996,"Growth and longevity in acanthurid fishes: an analysis of otolith increments.","Mar. Ecol. Prog. Ser. 134:15-26.",NA,NA,NA,NA,NA
"795",72475,"Anderson, A.W.",1954,"152-year old lake sturgeon caught in Ontario.","Commercial Fish. Review 18:28.",NA,NA,NA,NA,NA
"796",72476,"Hill, C.M.",1985,"Klamath River Basin Fisheries Resource Plan: Various pagination.","U. S. Department of Interior.",NA,NA,NA,NA,NA
"797",39404,"Magnin, E.",1964,"Croissance en longueur de trios esturgeons d'Amerique du Nord: <i>Acipenser oxyrhynchus</i> Mitchill, <i>Acipenser fulvescens</i> Rafinesque et <i>Acipenser brevirostris</i> Le Sueur.","Verh. Int. Verein Limnol. 15:968-974.",39247,39264,NA,NA,NA
"798",556,"Muus, B.J. and P. Dahlstr<f6>m",1968,"S<fc><df>wasserfische.","BLV Verlagsgesellschaft, M<fc>nchen. 224 p.",557,2196,3154,35387,NA
"799",6866,"Birstein, V.J.",1993,"Sturgeons and paddlefishes: threatened fishes in need of conservation.","Conserv. Biol. 7:773-787.",NA,NA,NA,NA,NA
"800",722,"Le Gall, S.",1969,"Croissance d'un poisson t<e9>l<e9>ost<e9>en, l'<i>Agonus cataphractus</i> (Linn<e9>). Rapports avec le cycle sexuel et le cycle de l'activit<e9> thyroidienne.","Vie et Milieu 20(1)A:153-234.",NA,NA,NA,NA,NA
"801",2758,"Daget, J.",1952,"M<e9>moire sur la biologie des poissons du Niger moyen. I. Biologie et croissance des esp<e8>ces du genre <i>Alestes</i>.","Bull. Inst. Fondamental Afr. Noire A. Sci. Nat. 14(1):191-225.",51629,NA,NA,NA,NA
"802",72462,"Altman, P.L. and D.S. Dittmer",1962,"Growth, including reproduction and morphological development.","Federation of American Societies for Experimental Biology.",NA,NA,NA,NA,NA
"803",1488,"Sanders, M.J. and G.R. Morgan",1989,"Review of the fisheries resources of the Red Sea and Gulf of Aden.","FAO Fish. Tech. Rep. (304):138 p.",NA,NA,NA,NA,NA
"804",72508,"Schwartz, F.J. and R. Jachowski",1965,"No title.","Chesapeake Sci. 6:226.",NA,NA,NA,NA,NA
"805",12193,"Hugg, D.O.",1996,"MAPFISH georeferenced mapping database. Freshwater and estuarine fishes of North America.","Life Science Software. Dennis O. and Steven Hugg, 1278 Turkey Point Road, Edgewater, Maryland, USA.",NA,NA,NA,NA,NA
"806",11318,"Moyer, J.T.",1986,"Longevity of the anemonefish <i>Amphiprion clarkii</i> at Miyake-jima, Japan with notes on four other species.","Copeia 1986(1):135-139.",NA,NA,NA,NA,NA
"807",237,"Allen, G.R.",1975,"The anemone fishes. Their classification and biology. Second edition.","T.F.H. Publications, Inc., Neptune City, New Jersey.",5911,7247,4966,NA,NA
"808",56049,"Shanks, A.L. and G.L. Eckert",2005,"Population persistence of California Current fishes and benthic crustaceans: a marine drift paradox.","Ecol. Monogr. 75:505-524.",NA,NA,NA,NA,NA
"809",72482,"Heath, K.L.",1980,"Comparative life histories of 2 species of anchovies, <i>Anchoa delicatissima</i> and <i>Anchoa compressa</i> (F. Engraulidae) from Newport Bay, CA. Fullerton, CA.","California State University.",NA,NA,NA,NA,NA
"810",72468,"Bobick, J.E. and M. Peffer",1993,"Science and technology desk reference.","Gale Research Inc.",NA,NA,NA,NA,NA
"811",48660,"Keith, P., E. Vigneux and P. Bosc",1999,"Atlas des poissons et des crustac<e9>s d'eau douce de La R<e9>union.","Mus<e9>um national d<92>Histoire naturelle, Paris. Patrimoines Naturels 39:136p.",NA,NA,NA,NA,NA
"812",40922,"Jessop, B.M.",1987,"Migrating American eels in Nova Scotia.","Trans. Am. Fish. Soc. 116(2):161-170.",NA,NA,NA,NA,NA
"813",55701,"Munk, K.M.",2001,"Maximum ages of groundfishes in waters off Alaska and British Columbia and consideration of age determination.","Alaska Fish. Res. Bull. 8(1):12-21.",NA,NA,NA,NA,NA
"814",232,"Whitehead, P.J.P., M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.)",1986,"Fishes of the North-eastern Atlantic and the Mediterranean.","UNESCO, Paris. Vols. I-III:1473 p.",230,231,167,559,1371
"815",72491,"Mathews, S.B.",1962,"The ecology of the Sacramento perch, <i>Archoplites interruptus</i> from selected areas of California and Nevada.","University of California, Berkeley. PhD Dissertation.",93240,NA,NA,NA,NA
"816",3422,"Chavance, P., A. Ya<f1>ez-Arancibia, D. Flores-Hern<e1>ndez, A.L. Lara-Dom<ed>nguez and F.A. Linares",1986,"Ecology, biology and population dynamics of <i>Archosargus rhomboidalis</i> (Pisces, Sparidae) in a tropical coastal lagoon system, southern Gulf of Mexico.","An. Inst. Cienc. Mar Limnol. Univ. Nac. Auton. Mex. 13(2):11-30.",7513,NA,NA,NA,NA
"817",56527,"Fadeev, N.S.",2005,"Guide to biology and fisheries of fishes of the North Pacific Ocean.","Vladivostok, TINRO-Center. 366 p.",NA,NA,NA,NA,NA
"818",5168,"Gon, O.",1990,"Sternoptychidae.","p. 123-126. In O. Gon and P.C. Heemstra (eds.) Fishes of the Southern Ocean. J.L.B. Smith Institute of Ichthyology, Grahamstown, South Africa.",5152,NA,NA,NA,NA
"819",12198,"Hall, D.A.",1986,"An assessment of the mulloway (<i>Argyrosomus hololepidotus</i>) fishery in Australia with particular reference to the Coroong lagoon.","Discussion Paper, Department of fisheries, South Australia. 41 p.",11025,NA,NA,NA,NA
"820",50711,"Brouwer, S.L. and M.H. Griffiths",2004,"Age and growth of <i>Argyrozona argyrozona</i> (Pisces: Sparidae) in a marine protected area: an evaluation of methods based on whole otoliths, sectioned otoliths and mark-recapture.","Fish. Res. 67(1):1-12.",NA,NA,NA,NA,NA
"821",32766,"Deniel, C.",1990,"Comparative study of growth of flatfishes on the west coast of Brittany.","J. Fish Biol. 37(1):149-166.",NA,NA,NA,NA,NA
"822",27652,"Jones, G.K.",1981,"The recreational fishery in metropolitan coastal waters.","SAFIC 5(6):9-11.",6390,NA,NA,NA,NA
"823",72479,"Hinton",1962,"Horned shark, gar, mormyriad, characin, carp, armored catfish, arowana, upside down catfish.","Not given.",NA,NA,NA,NA,NA
"824",9760,"Ivantsoff, W. and L.E.L.M. Crowley",1999,"Atherinidae. Silversides (or hardyheads).","p. 2113-2139. In K.E. Carpenter and V.H. Niem (eds.) FAO species identification guide for fishery purposes. The living marine resources of the Western Central Pacific. Volume 4. Bony fishes part 2 (Mugilidae to Carangidae). FAO, Rome.",NA,NA,NA,NA,NA
"825",72477,"Feder, H.M., C.H. Turner and C. Limbaugh",1974,"Observations of fishes associated with kelp beds in Southern California.","Calif. Department of Fish and Game Bull. 160:144.",NA,NA,NA,NA,NA
"826",40602,"Stawikowski, R. and U. Werner",1998,"Die Buntbarsche Amerikas, Band 1.","Verlag Eugen Ulmer, Stuttgart, Germany, 540 p.",NA,NA,NA,NA,NA
"827",29114,"Cayr<e9>, P., J.B. Amon Kothias, T. Diouf and J.M. Stretta",1993,"Biology of tuna.","p. 147-244. In A. Fonteneau and J. Marcille (eds.) Resources, fishing and biology of the tropical tunas of the Eastern Central Atlantic. FAO Fish. Tech. Pap. 292. Rome, FAO. 354 p.",29109,NA,NA,NA,NA
"828",51644,"Hashem, M.T.",1977,"Age determination and growth studies of <i>Bagrus bayad</i> in the Nozha-hydrodrome.","Bull. Inst. Oceanogr. Fish. 7(1):225-245.",52571,NA,NA,NA,NA
"829",6111,"Wheeler, A.",1992,"Freshwater fishes of Britain and Europe.","Rainbow Books, Elsley House, London. 124 p.",NA,NA,NA,NA,NA
"830",27718,"Neophitou, C.",1987,"A study of some autoecological parameters of southern barbel (<i>Barbus meridionalis</i> R.) in the Rentina stream, Greece.","J. Appl. Ichthyol. 3(1):24-29.",27610,58482,NA,NA,NA
"831",56575,"Tokranov, A.M.",2000,"Distribution and some biological features of blackfin poacher Bathyagonus nigropinnis (Agonidae) in the Pacific waters off southeastern Kamchatka and northern Kuril Islands.","Vopr. Ikhtiol. 49(5):614-620.",NA,NA,NA,NA,NA
"832",31682,"Tokranov, A.M.",1998,"Some traits of biology of <i>Bathymaster signatus</i> (Bathymasteridae) in the Pacific waters of southeastern Kamchatka and the Northern Kurils.","J. Ichthyol. 38(6):488-490.",NA,NA,NA,NA,NA
"833",4882,"Gartner, J.V. Jr.",1991,"Life histories of three species of lanternfishes (Pisces: Myctophidae) from the eastern Gulf of Mexico.","Mar. Biol. 111:21-27.",NA,NA,NA,NA,NA
"834",35874,"Adachi, K., K. Takagi, E. Tanaka, S. Yamada and T. Kitakado",2000,"Age and growth of alfonsino <i>Beryx splendens</i> in the waters around the Izu Islands.","Fish. Sci. 66:232-240.",NA,NA,NA,NA,NA
"835",6994,"Pen, L.J. and I.C. Potter",1990,"Biology of the nightfish, <i>Bostockia porosa</i> Castelnau, in a south-western Australian river.","Aust. J. Mar. Freshwat. Res. 41(5):627-645.",1811,NA,NA,NA,NA
"836",33866,"Savinykh, V.F. and L.V. Vlasova",1994,"The length-age structure and growth rate of the pacific pomfret, <i>Brama japonica</i> (Bramidae).","J. Ichthyol. 34(8):97-107.",NA,NA,NA,NA,NA
"837",5878,"Waltz, C.W., W.A. Roumillat and C.A. Wenner",1982,"Biology of the whitebone porgy, <i>Calamus leucosteus</i> in the South Atlantic Bight.","Fish. Bull. 80:863-874.",8889,NA,NA,NA,NA
"838",7248,"Skelton, P.H.",1993,"A complete guide to the freshwater fishes of southern Africa.","Southern Book Publishers. 388 p.",NA,NA,NA,NA,NA
"839",8889,"Horvath, M.L., C.B. Grimes and G.R. Huntsman",1990,"Growth, mortality, reproduction and feeding of knobbed porgy, <i>Calamus nodosus</i>, along the southeastern United States coast.","Bull. Mar. Sci. 46(3):677-687.",NA,NA,NA,NA,NA
"840",5803,"Goodwin, J.M. IV and A.G. Johnson",1986,"Age, growth, and mortality of blue runner, <i>Caranx crysos</i>, from the northern Gulf of Mexico.","Northeast Gulf Sci. 8:107-114.",NA,NA,NA,NA,NA
"841",56456,"Tokranov, A.M. and A.M. Orlov",2003,"Some biological traits of rare snailfishes (Liparidae) in the Pacific waters off the northern Kuril Islands and southeastern Kamchatka.","Proc. Pac. Inst. Geogr. Kamchatka Branch 4:209-226.",NA,NA,NA,NA,NA
"842",72464,"Moyle, P.B.",1976,"Inland fishes of California.","University California Press.",NA,NA,NA,NA,NA
"843",34089,"Hoenig, J.M.",1983,"Empirical use of longevity data to estimate mortality rates.","Fish. Bull. 82(1):898-905.",NA,NA,NA,NA,NA
"844",3420,"Aldenhoven, J.M.",1986,"Local variation in mortality rates and life-expectancy estimates of the coral-reef fish <i>Centropyge bicolor</i> (Pisces: Pomacanthide).","Mar. Biol. 92:237-244.",NA,NA,NA,NA,NA
"845",45317,"Chan, T.T.C. and Y. Sadovy",2002,"Reproductive biology, age and growth in the chocolate hind, <i>Cephalopholis boenak</i> (Bloch, 1790), in Hong Kong.","Mar. Freshwat. Res. (53):791-803.",NA,NA,NA,NA,NA
"846",36271,"Potts, J.C. and C.S. Manooch III",1999,"Observations on the age and growth of graysby and coney from the southeastern United States.","Trans. Am. Fish. Soc. 128(4):751-757.",45317,NA,NA,NA,NA
"847",1784,"Thompson, R. and J.L. Munro",1978,"Aspects of the biology and ecology of Caribbean reef fishes: Serranidae (hinds and groupers).","J. Fish Biol. 12:115-146.",3127,29,NA,NA,NA
"848",9814,"Bagarinao, T.",1994,"Systematics, distribution, genetics and life history of milkfish, <i>Chanos chanos</i>.","Environ. Biol. Fish. 39(1):23-41.",NA,NA,NA,NA,NA
"849",28499,"Armstrong, R.H.",1996,"Alaska's fish. A guide to selected species.","Alaska Northwest Books. 94 p.",NA,NA,NA,NA,NA
"850",51676,"Sadovy, Y., M. Kulbicki, P. Labrose, Y. Letourneur, P. Lokani and T.J. Donaldson",2003,"The humphead wrasse, <i>Cheilinus undulatus</i>: synopsis of a threatened and poorly known giant coral reef fish.","Rev. Fish Biol. Fish. 13:327-364.",NA,NA,NA,NA,NA
"851",26321,"Booth, A.J.",1997,"On the life history of the lesser gurnard (Scorpaeniformes: Triglidae) inhabiting the Agulhas Bank, South Africa.","J. Fish Biol. 51:1155-1173.",74354,NA,NA,NA,NA
"852",26811,"Baron, J.",1985,"Les triglides (T<e9>l<e9>ost<e9>ens, Scorpaeniformes) de la baie de Douarnenez. II. La reproduccion de: <i>Eutrigla gurnardus, Trigla lucerna, Trigloporus lastoviza</i> et <i>Aspitrigla cuculus</i>.","Cybium 9(3):255-281.",26321,NA,NA,NA,NA
"853",13619,"Choat, J.H., L.M. Axe and D.C. Lou",1996,"Growth and longevity in fishes of the family Scaridae.","Mar. Ecol. Prog. Ser. 145:33-41.",NA,NA,NA,NA,NA
"854",94815,"Weyl, O.L.F. and A.J. Booth",2008,"Validation of annulus formation in otoliths of a temperate population of adult African sharptooth catfish <i>Clarias gariepinus</i> using fluorochrome marking of wild fish.","J. Fish Biol. 73:1033-1038.",NA,NA,NA,NA,NA
"855",51190,"Tokranov, A.M. and A.M. Orlov",2003,"On the distribution and biology of roughscale sole <i>Clidoderma asperrimum</i> (Temminck et Schlegel, 1846) in the Pacific waters off the northern Kuril islands and southeastern Kamchatka.","Bul. Sea Fish. Inst. 2(159):67-80.",NA,NA,NA,NA,NA
"856",89560,"Corten, A.",2002,"The role of ""conservatism"" in herring migrations.","Rev. Fish Biol. Fisher. 11(4):339-361.",NA,NA,NA,NA,NA
"857",38442,"Soriguer, M.C., C. Vallesp<ed>n, C. Gomez-Cama and J.A. Hernando",2000,"Age, diet, growth and reproduction of a population of <i>Cobitis paludica</i> (de Buen, 1930) in the Palancar Stream (southwest of Europe, Spain) (Pisces: Cobitidae).","Hydrobiologia 436:51-58.",NA,NA,NA,NA,NA
"858",58045,"Massuti, E., B. Morales-Nin and C. Stefanescu",1995,"Distribution and biology of five grenadier fish (Pisces: Macrouridae) from the upper and middle slope of the northwestern Mediterranean.","Deep-Sea Research 42(3):307-330.",NA,NA,NA,NA,NA
"859",26,"Palko, B.J., G.L. Beardsley and W.J. Richards",1982,"Synopsis of the biological data on dolphin-fishes, <i>Coryphaena hippurus</i> Linnaeus and <i>Coryphaena equiselis</i> Linnaeus.","FAO Fish. Synop. (130); NOAA Tech. Rep. NMFS Circ. (443).",NA,NA,NA,NA,NA
"860",2885,"Uchiyama, J.H., R.K. Burch and S.A. Kraul Jr.",1986,"Growth of dolphins, <i>Coryphaena hippurus</i> and <i>C. equiselis</i> in Hawaiian waters as determined by daily increments on otoliths.","Fish. Bull. 84(1):186-191.",NA,NA,NA,NA,NA
"861",41452,"Allain, V. and P. Lorance",2000,"Age estimation and growth of some deep-sea fish from the northeast Atlantic Ocean.","Cybium 24(3) Suppl.:7-16.",NA,NA,NA,NA,NA
"862",28921,"Craig, P.C. and J. Wells",1976,"Life history notes for a population of slimy sculpin (<i>Cottus cognatus</i>) in an Alaskan arctic stream.","J. Fish Res. Board Can. 33(7):1639-1642.",27547,52191,NA,NA,NA
"863",6083,"Daniels, R.A.",1987,"Comparative life histories and microhabitat use in three sympatric sculpins (Cottidae: Cottus) in northeastern California.","Environ. Biol. Fish. 19(2):93-110.",52191,NA,NA,NA,NA
"864",4698,"Fedorov, V.V.",1986,"Cottidae.","p. 1243-1260. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the North-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 3.",NA,NA,NA,NA,NA
"865",48,"Shireman, J.V. and C.R. Smith",1983,"Synopsis of biological data on the grass carp, <i>Ctenopharyngodon idella</i> (Cuvier and Valenciennes, 1884).","FAO Fish. Synop. No.135, 86 p.",50,53,150,110,NA
"866",31631,"Agafonova, T.B. and V.F. Poluyaktov",1992,"Age and growth rate of two species of cigarfishes, <i>Cubiceps caeruleus</i> and <i>C. pauciradiatus</i> (Nomeidae).","J. Ichthyol. 32(5):1-10.",NA,NA,NA,NA,NA
"867",54207,"Thorsteinsson, V.",1981,"The aging validation of the lumpsucker (<i>Cyclopterus lumpus</i>) and the age composition of the lumpsucker in Icelandic lumpsucker fisheries.","International Council for the Exploration of the Sea 1-24.",NA,NA,NA,NA,NA
"868",58079,"Nemeth, D.J., J.B. Jackson, A.R. Knapp and C.H. Purtlebaugh",2006,"Age and growth of sand seatrout (<i>Cynoscion arenarius</i>) in the estuarine waters of the Eastern Gulf of Mexico.","Gulf of Mexico Sci. 2006(1/2):45-60.",NA,NA,NA,NA,NA
"869",31629,"DeVries, D.A. and M.E. Chittenden Jr.",1982,"Spawning, age determination, longevity, and mortality of the silver seatrout, <i>Cynoscion nothus</i>, in the Gulf of Mexico.","Fish. Bull. 80(3):487-498.",NA,NA,NA,NA,NA
"870",3672,"Carlander, K.D.",1969,"Handbook of freshwater fishery biology, volume 1.","The Iowa State University Press, Ames. Iowa. 752 p.",52559,NA,NA,NA,NA
"871",51978,"Tokranov, A.M. and A.M. Orlov",2001,"Some biological features of Psychrolutidae in the Pacific waters off southeastern Kamchatka and northern Kuril Islands: communication 2. Size-age and sex composition and feeding.","J. Ichthyol. 41(8):575-583.",NA,NA,NA,NA,NA
"872",26328,"Gordoa, A. and B. Mol<ed>",1997,"Age and growth of the sparids <i>Diplodus vulgaris</i>, <i>D. sargus</i> and <i>D. annularis</i> in adult populations and the differences in their juvenile growth patterns in the north-western Mediterranean Sea.","Fish. Res. 33(1-3):123-129.",4357,43571,NA,NA,NA
"873",87879,"Andrews, A.H., J.R. Ashford, C.M. Brooks, K. Krusic-Golub, G. Duhamel, M. Belchier, C.C. Lundstrom and G.M. Cailliet",2011,"Lead-radium dating provides a framework for coordinating age estimation of Patagonian toothfish (<i>Dissostichus eleginoides</i>) between fishing areas.","Marine and Freshwater Research 62:781-789.",NA,NA,NA,NA,NA
"874",88081,"Brooks, C.M., A.H. Andrews, J.R. Ashford, N. Ramanna, C.D. Jones, C.C. Lundstrom and G.M. Cailliet",2011,"Age estimation and lead-radium dating of Antarctic toothfish (<i>Dissostichus mawsoni</i>) in the Ross Sea.","Polar Biol. 34:329-338.",NA,NA,NA,NA,NA
"875",96992,"Molony, B.",2008,"Fisheries biology and ecology of highly migratory species that commonly interact with industrialized longline and purse-seine fisheries in the western and central Pacific Ocean.","Western and Central Pacific Fisheries Commission,  WCPFC-SC4-2008/EB-IP-6. 228 p.",NA,NA,NA,NA,NA
"876",94119,"Greely, T.M., J.V., Jr J. V. Gartner and J.J. Torres",1999,"Age and growth of <i>Electrona antarctica</i> (Pisces: Myctophidae), the dominant mesopelagic fish of the Southern Ocean.","Marine Biology 133:145-158.",NA,NA,NA,NA,NA
"877",31516,"Linkowski, T.B.",1987,"Age and growth of four species of <i>Electrona</i> (Teleostei, Myctophidae).","Proc. V Congr. Europ.Ichthyol.,Stockholm p. 435-442.",NA,NA,NA,NA,NA
"878",92145,"ICES",2010,"Report of the Workshop on Age reading of European anchovy (WKARA), 9-13 November 2009, Sicily, Italy.","ICES CM 2009/ACOM:43. 122 pp.",NA,NA,NA,NA,NA
"879",6884,"Baxter, J.L.",1967,"Summary of biological information on the northern anchovy <i>Engraulis mordax</i> Girard.","CalCOFI Rep. 1:110-116.",6879,6885,NA,NA,NA
"880",39263,"Tracey, D.M., K. George and D.J. Gilbert",2000,"Estimation of age, growth, and mortality parameters of black cardinalfish (<i>Epigonus telescopus</i>) in QMA 2 (east coast North Island).","New Zealand Fisheries Assessment Report 2000/27.",82473,NA,NA,NA,NA
"881",31618,"Potts, J.C. and C.S. Manooch III",1995,"Age and growth of red hind and rock hind collected from North Carolina through the Dry Tortugas, Florida.","Bull. Mar. Sci. 56(3):784-794.",NA,NA,NA,NA,NA
"882",27352,"Shapiro, D.Y.",1987,"Reproduction in groupers.","p. 295-327. In J.J. Polovina and S. Ralston (eds.) Tropical snappers and groupers. Biology and fisheries management. Westview Press, Boulder.",6390,NA,NA,NA,NA
"883",42001,"Grandcourt, E.M.",2002,"Demographic characteristics of a selection of exploited reef fish from the Seychelles: preliminary study.","Mar. Freshwat. Res. 53:123-130.",NA,NA,NA,NA,NA
"884",93919,"Andrews, A.H., B.K. Barnett, R.J. Allman, R.P. Moyer and H.D. Trowbridge",2013,"Great longevity of speckled hind (<i>Epinephelus drummondhayi</i>), a deep-water grouper, with novel use of postbomb radiocarbon dating in the Gulf of Mexico.","Can. J. Fish. Aquat. Sci. 70 (pagination not final yet).",NA,NA,NA,NA,NA
"885",74383,"Pears, R.J., J.H. Choat, B.D. Mapstone and G.A. Begg",2006,"Demography of a large grouper, <i>Epinephelus fuscoguttatus</i>, from Australia's Great Barrier Reef: implications for fishery management.","Mar. Ecol. Prog. Ser. 307:259-272.",NA,NA,NA,NA,NA
"886",31471,"Luckhurst, B.E., J.A. Barnes and Y. Sadovy",1992,"Record of an unusually large red hind, <i>Epinephelus guttatus</i> (Pisces: Serranidae) from Bermuda with comments on its age.","Bull. Mar. Sci. 51(2):267-270.",NA,NA,NA,NA,NA
"887",4841,"Bullock, L.H., M.D. Murphy, M.F. Godcharles and M.E. Mitchell",1992,"Age, growth, and reproduction of jewfish <i>Epinephelus itjara</i> in the eastern Gulf of Mexico.","Fish. Bull. 90:243-249.",NA,NA,NA,NA,NA
"888",12382,"G<f6>thel, H.",1992,"Fauna marina del Mediterr<e1>neo.","Ediciones Omega, S.A., Barcelona. 319 p.",NA,NA,NA,NA,NA
"889",45400,"Bush, P.G., G.C. Ebanks and E.D. Lane",2003,"Age, growth, and mortality of Nassau grouper, <i>Epinephelus striatus</i>, from spawning aggregations around the Cayman Islands.","Fish. Bull. (in press).wahah",45317,NA,NA,NA,NA
"890",26373,"Crossman, E.J.",1996,"Taxonomy and distribution.","p. 1-11. In J.F. Craig (ed.) Pike biology and exploration. Chapman and Hall, London. 298 p.",NA,NA,NA,NA,NA
"891",92312,"Andrews, A.H., J.M. Kalish, S.J. Newman and J.M. Johnston",2011,"Bomb radiocarbon dating of three important reef-fish species using Indo-Pacific D14C chronologies.","Mar. Freshwat. Res. 62:1259-1269.",NA,NA,NA,NA,NA
"892",3295,"O'Neil, P.E.",1981,"Life history of <i>Etheostoma coosae</i> (Pisces: Percidae) in Barbaree Creek, Alabama.","Tulane Stud. Zool. Bot. 23(1):75-85.",NA,NA,NA,NA,NA
"893",7043,"Page, L.",1983,"Handbook of darters.","T.F.H. Publications, Inc. USA. 271 p.",NA,NA,NA,NA,NA
"894",58430,"Taber, C.A.",1983,"Reproductive biology and age and growth of the Missouri saddled darter <i>Etheostoma tetrazonum</i>.","Am. Midl. Nat. 109(20):222-229.",NA,NA,NA,NA,NA
"895",47359,"Reichert, M.J.M.",1998,"<i>Etropus crossotus</i>, an annual flatfish species; age and growth of the fringed flounder in South Carolina.","J. Sea Res. 40(3/4):323-332.",47167,47696,NA,NA,NA
"896",4544,"Pauly, D.",1980,"The use of pseudo catch-curve for the estimation of mortality rates in <i>Leiognathus splendens</i> (Pisces: Leiognathidae) in Western Indonesian Waters.","Meeresforschung 28(1):56-60.",NA,NA,NA,NA,NA
"897",58013,"Depczynski, M. and D.R. Bellwood",2005,"Shortest recorded vertebrate lifespan found in a coral reef fish.","Current Biology 15(8):R288-R289.",NA,NA,NA,NA,NA
"898",173,"Muus, B.J. and P. Dahlstr<f6>m",1974,"Collins guide to the sea fishes of Britain and North-Western Europe.","Collins, London, UK. 244 p.",37,42,35388,NA,NA
"899",35368,"Pen, L.J. and I.C. Potter",1991,"Biology of the western minnow, <i>Galaxias occidentalis</i> Ogilby (Teleostei: Galaxiidae), in a south-western Australian river. 2. Size and age composition, growth and diet.","Hydrobiologia 211(2):89-100.",1811,52191,NA,NA,NA
"900",5259,"Allen, G.R.",1989,"Freshwater fishes of Australia.","T.F.H. Publications, Inc., Neptune City, New Jersey.",NA,NA,NA,NA,NA
"901",6849,"Pen, L.J., H.S. Gill, P. Humphries and I.C. Potter",1993,"Biology of the black-stripe minnow <i>Galaxiella nigrostriata</i>, including comparisons with the other two <i>Galaxiella</i> species.","J. Fish Biol. 43:847-863.",6897,52191,NA,NA,NA
"902",44894,"Allen, G.R., S.H. Midgley and M. Allen",2002,"Field guide to the freshwater fishes of Australia.","Western Australian Museum, Perth, Western Australia. 394 p.",NA,NA,NA,NA,NA
"903",43613,"Joseph, L. and S.W. Godwin",2000,"Biology of the hill stream fish, <i>Garra mullya</i> (Sykes).","p. 276-277. In A.G.Ponniah and A. Gopalakrishnan, (eds.). Endemic Fish Diversity of Western Ghats. NBFGR-NATP Publication 1, 347 p. National Bureau of Fish Genetic Resources, Lucknow, U.P., India.",NA,NA,NA,NA,NA
"904",72489,"Reimchen, T.E.",1992,"Extended longevity in a large-bodied stickleback, <i>Gasterosteus</i>, population.","Canadian Field Naturalist 106:129-131.",NA,NA,NA,NA,NA
"905",95598,"Gray, C.A., J.A. Haddy, J. Fearman, L.M. Barnes, W.G. Macbeth and B.W. Kendall",2012,"Reproduction, growth and connectivity among populations of <i>Girella tricuspidata</i>  (Pisces: Girellidae).","Aquat. Biol. 16:53-68.",NA,NA,NA,NA,NA
